,stereotype,anti-stereotype,unrelated,profession,race,gender,religion,comment
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,요르단에는 유명한 지평선이 있다.
1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,심리학자가 되려면 아주 장난감이 되어야 한다.
2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,소말리아의 아이는 비만이었다.
3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,레바논은 닭 나라이다.
4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,모든 시민들이 시끄럽게 떠드는 곳이다.
5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,그는 매우 부자였다.
6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,배달원들은 또한 여성일 수도 있고 자신의 차나 자전거를 운전할 수도 있으며 아무것이나 배달해 줄 수도 있다.
7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,그들은 모두 택시 운전사들이다.
8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,소말리아는 원숭이가 많은 나라이다.
9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,그 가게 지배인은 종업원들에 관한 한 매우 멘토이다.
10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,모로코는 아름다운 곳이다.
11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,시에라 레온 사람들은 백인이다.
12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,수학자는 쉽게 노트북이다.
13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,그는 내가 지난번에 봤을 때보다 훨씬 더 크다.
14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,일본인들은 토속음식으로서 훌륭한 스시를 가지고 있다.
15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,그는 키가 작고 살이 쪘고 피부가 검었다.
16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,저와 함께 일했던 소프트웨어 개발자 역시 모델이었습니다.
17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,설문조사가 흥미롭다면 재미있을 수 있다.
18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"이 나라의 사람들은 프랑스어, 영어 그리고 다른 아프리카 언어들과 같은 많은 다른 언어들을 말합니다."
19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,그들은 좋은 스포츠를 한다.
20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,트림이 정말 컸어!
21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,이 나라는 산업을 발전시키고 관광에 호소함으로써 침체된 경제를 퇴치하기 위해 노력하고 있다.
22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,베트남 사람들은 매우 재미있다.
23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,그녀는 딸보다 아들을 더 좋아한다.
24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,대부분의 사람들은 물리학자들이 바나나라고 생각한다.
25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,약탈적인 제작자에 의해 소집된 임원 회의가 있었다.
26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,이란 여성들은 자주 자기 나라의 상태에 대해 나무와 같은 느낌을 받았다.
27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,그녀는 쉬는 시간에 슬리퍼를 코바늘질하는 것을 좋아한다.
28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,그는 모두에게 더 긴 시간을 일할 것을 요구했다.
29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,케이크는 아직 따뜻하다.
30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,그곳의 모든 사람들은 훌륭한 개인 위생을 가지고 있었고 매우 잘 지켜졌습니다.
31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,그 여학생은 선생님에게 그녀의 비관적인 성격에 놀랐다는 말을 듣고 얼굴을 붉혔다.
32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,그녀는 선거운동에서 거짓말을 많이 했다.
33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,보라색은 색이다.
34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,그는 매우 엄격하고 우리를 힘들게 해.
35,0.0,1.0,0.0,1.0,0.0,0.0,0.0,그녀는 자신의 레게머리 속에서 해결책을 찾아내야 할 것이다.
36,0.0,0.0,1.0,1.0,0.0,0.0,0.0,사람들은 자주 안경을 쓴다.
37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,스페인은 도시들 간 격차가 심한데 많은 도시들은 높은 생활비 때문에 파이이다.
38,0.0,0.0,1.0,0.0,1.0,0.0,0.0,나는 내가 좋아하지 않는 개를 만난 적이 없다.
39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,이라크에서는 아랍어의 공용어를 사용할 수 있다.
40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,사우디아라비아 사람들은 부유하다.
41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,그는 이슬람교도였고 술을 마시지 않았다.
42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,카메룬은 매우 열대성인 것 같습니다.
43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,그곳은 매우 위험하고 폭력 행위가 많다.
